Topic,Count,Name
-1,28,-1_synthetic_topic
0,34,0_synthetic_topic
1,33,1_synthetic_topic
2,28,2_synthetic_topic
3,25,3_synthetic_topic
4,31,4_synthetic_topic
5,31,5_synthetic_topic
6,25,6_synthetic_topic
7,23,7_synthetic_topic
8,26,8_synthetic_topic
9,32,9_synthetic_topic
10,20,10_synthetic_topic
11,126,11_synthetic_topic
12,30,12_synthetic_topic
13,27,13_synthetic_topic
14,29,14_synthetic_topic
15,35,15_synthetic_topic
16,28,16_synthetic_topic
17,15,17_synthetic_topic
18,30,18_synthetic_topic
19,19,19_synthetic_topic
20,29,20_synthetic_topic
21,34,21_synthetic_topic
22,22,22_synthetic_topic
23,26,23_synthetic_topic
24,27,24_synthetic_topic
25,26,25_synthetic_topic
26,18,26_synthetic_topic
27,33,27_synthetic_topic
28,27,28_synthetic_topic
29,23,29_synthetic_topic
30,21,30_synthetic_topic
31,25,31_synthetic_topic
32,20,32_synthetic_topic
33,20,33_synthetic_topic
34,25,34_synthetic_topic
35,21,35_synthetic_topic
36,15,36_synthetic_topic
37,18,37_synthetic_topic
38,32,38_synthetic_topic
39,36,39_synthetic_topic
40,27,40_synthetic_topic
