document_index,assigned_topic,assigned_topic_probability
0,29,0.038
1,18,0.263
2,4,0.531
3,26,0.909
4,39,0.105
5,35,0.348
6,40,0.577
7,19,0.74
8,14,0.915
9,1,0.469
10,27,0.841
11,17,0.617
12,11,0.204
13,11,0.58
14,6,0.314
15,11,0.704
16,15,0.285
17,21,0.263
18,40,0.945
19,10,0.909
20,4,0.452
21,28,0.765
22,23,0.982
23,15,0.089
24,24,0.606
25,37,0.253
26,6,0.8
27,32,0.101
28,21,0.789
29,32,0.201
30,11,0.456
31,5,0.814
32,3,0.067
33,-1,0.928
34,6,0.217
35,13,0.501
36,9,0.735
37,33,0.123
38,11,0.609
39,13,0.516
40,23,0.586
41,12,0.662
42,20,0.421
43,11,0.299
44,32,0.184
45,11,0.939
46,40,0.401
47,38,0.282
48,7,0.053
49,22,0.751
50,33,0.528
51,34,0.191
52,14,0.893
53,21,0.934
54,5,0.881
55,9,0.561
56,9,0.373
57,10,0.162
58,15,0.377
59,27,0.612
60,36,0.227
61,23,0.464
62,19,0.573
63,28,0.731
64,24,0.091
65,17,0.867
66,0,0.456
67,21,0.582
68,1,0.94
69,24,0.168
70,38,0.884
71,32,0.804
72,34,0.994
73,18,0.393
74,19,0.127
75,21,0.014
76,7,0.793
77,40,0.137
78,0,0.306
79,40,0.987
80,39,0.442
81,38,0.231
82,-1,0.753
83,39,0.272
84,8,0.531
85,9,0.157
86,27,0.461
87,15,0.109
88,38,0.773
89,19,0.365
90,3,0.319
91,9,0.994
92,31,0.83
93,23,0.554
94,12,0.944
95,8,0.211
96,27,0.573
97,10,0.929
98,3,0.57
99,22,0.308
100,35,0.812
101,11,0.139
102,28,0.152
103,17,0.731
104,39,0.069
105,24,0.051
106,20,0.379
107,8,0.398
108,36,0.47
109,0,0.741
110,21,0.569
111,10,0.714
112,20,0.05
113,40,0.316
114,2,0.966
115,1,0.428
116,33,0.222
117,11,0.992
118,11,0.411
119,8,0.479
120,24,0.224
121,9,0.656
122,26,0.207
123,16,0.61
124,31,0.757
125,26,0.652
126,23,0.09
127,3,0.08
128,25,0.842
129,28,0.905
130,20,0.136
131,23,0.375
132,24,0.654
133,8,0.835
134,17,0.909
135,4,0.699
136,31,0.147
137,5,0.768
138,33,0.859
139,25,0.351
140,20,0.494
141,20,0.166
142,5,0.305
143,26,0.87
144,14,0.089
145,31,0.762
146,34,0.098
147,37,0.293
148,37,0.582
149,30,0.003
150,10,0.675
151,10,0.316
152,11,0.749
153,11,0.975
154,10,0.416
155,26,0.03
156,37,0.849
157,34,0.275
158,38,0.149
159,13,0.879
160,20,0.233
161,24,0.605
162,11,0.254
163,11,0.712
164,22,0.649
165,34,0.509
166,14,0.555
167,24,0.227
168,33,0.022
169,36,0.801
170,3,0.889
171,2,0.778
172,8,0.708
173,3,0.472
174,7,0.584
175,38,0.692
176,25,0.026
177,3,0.424
178,28,0.225
179,38,0.364
180,34,0.749
181,34,0.363
182,36,0.739
183,11,0.972
184,35,0.923
185,32,0.828
186,11,0.853
187,7,0.394
188,37,0.732
189,2,0.667
190,10,0.983
191,29,0.575
192,29,0.43
193,36,0.837
194,2,0.75
195,32,0.125
196,4,0.596
197,24,0.592
198,8,0.632
199,22,0.941
200,3,0.602
201,0,0.87
202,39,0.358
203,20,0.057
204,18,0.375
205,15,0.533
206,37,0.833
207,31,0.632
208,19,0.442
209,4,0.462
210,28,0.997
211,7,0.141
212,11,0.206
213,26,0.625
214,38,0.701
215,8,0.395
216,11,0.032
217,16,0.522
218,28,0.144
219,26,0.056
220,38,0.345
221,7,0.136
222,32,0.439
223,31,0.762
224,11,0.047
225,36,0.5
226,11,0.497
227,12,0.002
228,17,0.738
229,13,0.09
230,4,0.932
231,12,0.639
232,14,0.288
233,30,0.925
234,11,0.4
235,30,0.26
236,31,0.385
237,4,0.612
238,39,0.724
239,29,0.662
240,28,0.921
241,31,0.956
242,33,0.197
243,15,0.913
244,20,0.107
245,24,0.957
246,7,0.259
247,1,0.266
248,29,0.422
249,9,0.182
250,11,0.828
251,11,0.125
252,18,0.439
253,22,0.907
254,36,0.635
255,19,0.607
256,14,0.995
257,32,0.023
258,11,0.32
259,-1,0.125
260,0,0.185
261,11,0.216
262,28,0.627
263,6,0.272
264,8,0.664
265,34,0.738
266,25,0.402
267,19,0.536
268,14,0.132
269,15,0.753
270,32,0.419
271,7,0.835
272,36,0.526
273,9,0.697
274,8,0.359
275,14,0.372
