document_index,assigned_topic,assigned_topic_probability
0,11,0.273
1,15,0.053
2,25,0.741
3,5,0.454
4,12,0.335
5,27,0.488
6,6,0.93
7,12,0.25
8,10,0.201
9,4,0.534
10,36,0.463
11,40,0.15
12,10,0.581
13,34,0.574
14,11,0.605
15,8,0.414
16,38,0.29
17,4,0.328
18,3,0.834
19,11,0.625
20,35,0.398
21,11,0.613
22,30,0.35
23,35,0.863
24,19,0.728
25,4,0.101
26,11,0.056
27,32,0.033
28,2,0.028
29,23,0.497
30,11,0.181
31,22,0.675
32,7,0.483
33,38,0.093
34,13,0.006
35,-1,0.037
36,4,0.533
37,18,0.587
38,19,0.353
39,25,0.079
40,11,0.935
41,3,0.406
42,9,0.429
43,1,0.381
44,1,0.059
45,25,0.71
46,11,0.665
47,11,0.164
48,5,0.269
49,32,0.547
50,27,0.377
51,11,0.998
52,25,0.496
53,24,0.882
54,26,0.205
55,32,0.556
56,27,0.322
57,28,0.935
58,3,0.551
59,37,0.654
60,7,0.076
61,30,0.488
62,29,0.579
63,19,0.29
64,19,0.736
65,36,0.467
66,25,0.561
67,9,0.361
68,1,0.677
69,4,0.103
70,15,0.506
71,11,0.896
72,17,0.235
73,31,0.868
74,28,0.885
75,28,0.23
76,37,0.081
77,2,0.764
78,23,0.959
79,11,0.256
80,30,0.913
81,32,0.208
82,26,0.359
83,30,0.886
84,11,0.304
85,22,0.756
86,33,0.147
87,3,0.379
88,9,0.941
89,37,0.226
90,11,0.702
91,11,0.92
92,37,0.785
93,14,0.948
94,24,0.944
95,11,0.114
96,17,0.602
97,-1,0.427
98,28,0.683
99,26,0.743
100,10,0.245
101,26,0.8
102,32,0.409
103,40,0.657
104,11,0.428
105,1,0.346
106,35,0.694
107,17,0.542
108,26,0.853
109,36,0.786
110,9,0.868
111,11,0.766
112,39,0.917
113,5,0.157
114,11,0.64
115,32,0.082
116,31,0.5
117,5,0.861
118,9,0.726
119,27,0.583
120,16,0.694
121,20,0.173
122,30,0.931
123,35,0.212
124,11,0.167
125,6,0.14
126,38,0.936
127,22,0.461
128,32,0.533
129,24,0.379
130,12,0.027
131,26,0.067
132,11,0.016
133,33,0.539
134,11,0.193
135,1,0.402
136,39,0.46
137,12,0.533
138,36,0.893
139,21,0.043
140,28,0.494
141,31,0.132
142,32,0.927
143,12,0.917
144,26,0.14
145,22,0.117
146,12,0.11
147,0,0.098
148,33,0.158
149,16,0.156
150,8,0.164
151,13,0.149
152,17,0.378
153,40,0.254
154,13,0.417
155,4,0.894
156,6,0.352
157,11,0.286
158,32,0.914
159,-1,0.322
160,18,0.122
161,10,0.619
162,21,0.282
163,24,0.52
164,20,0.768
165,19,0.566
166,27,0.809
167,28,0.345
168,6,0.169
169,27,0.395
170,20,0.412
171,16,0.716
172,9,0.687
173,22,0.309
174,39,0.929
175,18,0.276
176,1,0.996
177,9,0.033
178,37,0.674
179,32,0.62
180,1,0.585
181,32,0.779
182,3,0.591
183,11,0.61
184,37,0.877
185,11,0.187
186,26,0.531
187,11,0.712
188,12,0.308
189,2,0.219
190,23,0.129
191,11,0.263
192,5,0.666
193,11,0.615
194,1,0.172
195,1,0.491
196,1,0.214
197,12,0.936
198,10,0.724
199,6,0.173
200,6,0.29
201,38,0.853
202,15,0.557
203,20,0.356
204,35,0.598
205,40,0.389
206,14,0.911
207,31,0.874
208,15,0.16
209,10,0.677
210,4,0.838
211,13,0.211
212,40,0.872
213,6,0.42
214,5,0.308
215,9,0.984
216,11,0.688
217,15,0.291
218,38,0.53
219,11,0.643
220,18,0.712
221,36,0.209
222,11,0.617
223,15,0.847
224,29,0.804
225,35,0.294
226,0,0.97
227,23,0.013
228,12,0.779
229,15,0.317
230,11,0.941
231,20,0.861
232,40,0.881
233,17,0.252
234,39,0.796
235,27,0.333
236,25,0.447
237,21,0.904
238,13,0.72
239,23,0.641
240,22,0.129
241,3,0.538
242,38,0.124
243,36,0.075
244,27,0.947
245,27,0.592
246,5,0.006
247,24,0.469
248,39,0.287
249,4,0.154
250,36,0.819
251,13,0.154
252,8,0.166
253,36,0.233
254,11,0.712
255,32,0.191
256,35,0.321
257,-1,0.902
258,8,0.565
259,8,0.173
260,37,0.86
261,21,0.512
262,6,0.834
263,28,0.079
264,14,0.162
265,23,0.092
266,38,0.481
267,10,0.387
268,38,0.416
269,11,0.367
270,-1,0.424
271,15,0.381
272,35,0.16
273,34,0.569
274,28,0.869
275,28,0.994
276,11,0.117
277,4,0.411
278,18,0.241
279,13,0.567
280,40,0.36
281,31,0.878
282,30,0.935
283,3,0.325
284,30,0.356
285,34,0.535
286,16,0.636
287,11,0.752
288,15,0.1
289,11,0.051
290,7,0.678
291,20,0.479
292,1,0.673
293,4,0.302
294,36,0.172
295,28,0.111
296,23,0.786
297,15,0.403
298,22,0.083
299,28,0.247
300,13,0.862
301,12,0.482
302,30,0.853
303,21,0.945
304,11,0.067
305,11,0.943
306,32,0.371
307,11,0.698
308,2,0.403
309,33,0.615
310,9,0.67
311,2,0.133
312,10,0.431
313,4,0.207
314,-1,0.119
315,28,0.592
316,26,0.68
317,11,0.258
318,28,0.007
319,0,0.971
320,16,0.475
321,23,0.652
322,32,0.075
323,10,0.62
324,39,0.763
325,11,0.047
326,29,0.524
327,6,0.142
328,27,0.147
329,22,0.615
330,17,0.619
331,9,0.554
332,11,0.51
333,16,0.47
334,11,0.481
