document_index,assigned_topic,assigned_topic_probability
0,22,0.666
1,12,0.926
2,3,0.736
3,39,0.547
4,6,0.898
5,40,0.9
6,10,0.352
7,22,0.805
8,2,0.982
9,32,0.207
10,15,0.397
11,21,0.415
12,4,0.611
13,9,0.963
14,16,0.306
15,1,0.754
16,30,0.779
17,13,0.696
18,11,0.588
19,11,0.572
20,0,0.282
21,37,0.137
22,8,0.334
23,39,0.23
24,28,0.653
25,21,0.853
26,25,0.159
27,22,0.659
28,11,0.122
29,38,0.38
30,1,0.173
31,30,0.3
32,24,0.859
33,5,0.42
34,26,0.109
35,38,0.199
36,11,0.844
37,11,0.41
38,14,0.936
39,-1,0.561
40,11,0.507
41,7,0.456
42,25,0.773
43,11,0.836
44,2,0.127
45,4,0.408
46,11,0.283
47,34,0.899
48,21,0.735
49,32,0.292
50,7,0.408
51,0,0.419
52,37,0.932
53,11,0.474
54,13,0.018
55,20,0.73
56,24,0.097
57,2,0.631
58,23,0.513
59,23,0.763
60,30,0.55
61,40,0.175
62,11,0.894
63,24,0.903
64,36,0.421
65,19,0.609
66,1,0.552
67,35,0.534
68,39,0.09
69,39,0.494
70,37,0.225
71,36,0.798
72,27,0.849
73,0,0.019
74,30,0.737
75,3,0.115
76,5,0.01
77,24,0.014
78,37,0.466
79,8,0.814
80,5,0.311
81,20,0.925
82,13,0.421
83,34,0.189
84,7,0.459
85,38,0.627
86,9,0.506
87,13,0.441
88,27,0.188
89,34,0.699
90,19,0.35
91,20,0.971
92,25,0.401
93,26,0.222
94,31,0.86
95,4,0.209
96,39,0.168
97,1,0.719
98,11,0.298
99,31,0.417
100,10,0.451
101,24,0.784
102,11,0.574
103,33,0.741
104,11,0.987
105,3,0.711
106,3,0.279
107,11,0.767
108,29,0.85
109,1,0.431
110,11,0.66
111,26,0.49
112,12,0.128
113,24,0.729
114,11,0.444
115,16,0.346
116,0,0.468
117,4,0.582
118,3,0.757
119,0,0.909
120,11,0.684
121,9,0.994
122,9,0.157
123,-1,0.154
124,32,0.79
125,38,0.634
126,29,0.862
127,6,0.679
128,31,0.013
129,10,0.673
130,11,0.212
131,32,0.447
132,7,0.692
133,40,0.656
134,34,0.383
135,25,0.713
136,20,0.944
137,9,0.231
138,26,0.119
139,18,0.135
140,26,0.458
141,1,0.298
142,14,0.467
143,3,0.084
144,16,0.247
145,28,0.347
146,3,0.934
147,33,0.297
148,33,0.048
149,11,0.311
150,7,0.937
151,30,0.427
152,31,0.819
153,25,0.267
154,5,0.136
155,20,0.497
156,9,0.702
157,11,0.845
158,23,0.241
159,40,0.987
160,7,0.489
161,9,0.502
162,9,0.859
163,7,0.407
164,38,0.757
165,3,0.568
166,7,0.135
167,26,0.033
168,13,0.934
169,36,0.866
170,23,0.984
171,4,0.674
172,19,0.646
173,11,0.209
174,16,0.642
175,36,0.488
176,19,0.377
177,26,0.682
178,15,0.085
179,39,0.504
180,24,0.758
181,28,0.83
182,32,0.49
183,31,0.353
184,38,0.572
185,18,0.128
186,5,0.091
187,9,0.819
188,9,0.127
189,11,0.417
190,2,0.412
191,14,0.983
192,29,0.705
193,18,0.767
194,13,0.67
195,20,0.273
196,4,0.361
197,0,0.183
198,29,0.542
199,24,0.078
200,27,0.904
201,14,0.196
202,8,0.214
203,33,0.485
204,11,0.32
205,1,0.167
206,39,0.986
207,22,0.28
208,11,0.74
209,14,0.726
210,22,0.245
211,2,0.278
212,2,0.535
213,16,0.861
214,39,0.74
215,16,0.303
216,35,0.043
217,30,0.607
218,34,0.476
219,5,0.344
220,40,0.646
221,33,0.952
222,35,0.903
223,11,0.666
224,10,0.959
225,20,0.396
226,25,0.101
227,26,0.452
228,40,0.66
229,-1,0.801
230,9,0.938
231,1,0.517
232,21,0.373
233,10,0.282
234,24,0.607
235,15,0.693
236,9,0.632
237,13,0.195
238,25,0.446
239,39,0.074
240,6,0.52
241,6,0.214
242,39,0.889
243,36,0.808
244,36,0.731
245,38,0.112
246,7,0.447
247,6,0.18
248,26,0.044
249,30,0.402
250,33,0.314
251,40,0.918
252,11,0.926
253,9,0.935
254,11,0.014
255,20,0.519
256,11,0.018
257,30,0.604
258,33,0.508
259,29,0.43
260,11,0.053
261,33,0.105
262,11,0.313
263,13,0.242
264,22,0.179
265,4,0.851
266,29,0.028
267,27,0.218
268,17,0.917
269,13,0.872
270,10,0.355
271,26,0.804
272,40,0.152
273,18,0.64
274,39,0.883
275,18,0.472
276,-1,0.167
277,36,0.579
278,13,0.748
279,25,0.866
280,18,0.379
281,25,0.284
282,31,0.686
283,39,0.25
284,39,0.243
285,10,0.182
286,-1,0.367
287,27,0.439
288,7,0.725
289,13,0.108
290,30,0.426
291,24,0.658
292,24,0.545
