Topic,Count,Name
-1,21,-1_synthetic_topic
0,23,0_synthetic_topic
1,30,1_synthetic_topic
2,21,2_synthetic_topic
3,28,3_synthetic_topic
4,25,4_synthetic_topic
5,31,5_synthetic_topic
6,28,6_synthetic_topic
7,27,7_synthetic_topic
8,25,8_synthetic_topic
9,28,9_synthetic_topic
10,26,10_synthetic_topic
11,127,11_synthetic_topic
12,13,12_synthetic_topic
13,37,13_synthetic_topic
14,26,14_synthetic_topic
15,26,15_synthetic_topic
16,23,16_synthetic_topic
17,19,17_synthetic_topic
18,21,18_synthetic_topic
19,37,19_synthetic_topic
20,32,20_synthetic_topic
21,23,21_synthetic_topic
22,24,22_synthetic_topic
23,25,23_synthetic_topic
24,29,24_synthetic_topic
25,32,25_synthetic_topic
26,31,26_synthetic_topic
27,25,27_synthetic_topic
28,21,28_synthetic_topic
29,29,29_synthetic_topic
30,29,30_synthetic_topic
31,17,31_synthetic_topic
32,27,32_synthetic_topic
33,25,33_synthetic_topic
34,24,34_synthetic_topic
35,26,35_synthetic_topic
36,28,36_synthetic_topic
37,26,37_synthetic_topic
38,39,38_synthetic_topic
39,20,39_synthetic_topic
40,26,40_synthetic_topic
