Topic,Count,Name
-1,11,-1_synthetic_topic
0,12,0_synthetic_topic
1,13,1_synthetic_topic
2,6,2_synthetic_topic
3,9,3_synthetic_topic
4,9,4_synthetic_topic
5,8,5_synthetic_topic
6,16,6_synthetic_topic
7,11,7_synthetic_topic
8,6,8_synthetic_topic
9,13,9_synthetic_topic
10,9,10_synthetic_topic
11,5,11_synthetic_topic
12,5,12_synthetic_topic
13,13,13_synthetic_topic
14,6,14_synthetic_topic
15,12,15_synthetic_topic
16,9,16_synthetic_topic
17,9,17_synthetic_topic
18,10,18_synthetic_topic
19,10,19_synthetic_topic
20,8,20_synthetic_topic
21,11,21_synthetic_topic
22,18,22_synthetic_topic
23,7,23_synthetic_topic
24,9,24_synthetic_topic
25,8,25_synthetic_topic
26,10,26_synthetic_topic
27,10,27_synthetic_topic
28,11,28_synthetic_topic
29,9,29_synthetic_topic
30,10,30_synthetic_topic
31,15,31_synthetic_topic
32,7,32_synthetic_topic
33,3,33_synthetic_topic
34,10,34_synthetic_topic
35,11,35_synthetic_topic
36,5,36_synthetic_topic
37,8,37_synthetic_topic
38,10,38_synthetic_topic
39,10,39_synthetic_topic
40,8,40_synthetic_topic
