Topic,Count,Name
-1,27,-1_synthetic_topic
0,25,0_synthetic_topic
1,25,1_synthetic_topic
2,19,2_synthetic_topic
3,31,3_synthetic_topic
4,27,4_synthetic_topic
5,30,5_synthetic_topic
6,27,6_synthetic_topic
7,22,7_synthetic_topic
8,27,8_synthetic_topic
9,27,9_synthetic_topic
10,25,10_synthetic_topic
11,121,11_synthetic_topic
12,25,12_synthetic_topic
13,26,13_synthetic_topic
14,25,14_synthetic_topic
15,36,15_synthetic_topic
16,25,16_synthetic_topic
17,30,17_synthetic_topic
18,23,18_synthetic_topic
19,30,19_synthetic_topic
20,23,20_synthetic_topic
21,38,21_synthetic_topic
22,18,22_synthetic_topic
23,25,23_synthetic_topic
24,30,24_synthetic_topic
25,29,25_synthetic_topic
26,22,26_synthetic_topic
27,25,27_synthetic_topic
28,22,28_synthetic_topic
29,20,29_synthetic_topic
30,31,30_synthetic_topic
31,31,31_synthetic_topic
32,33,32_synthetic_topic
33,22,33_synthetic_topic
34,22,34_synthetic_topic
35,25,35_synthetic_topic
36,34,36_synthetic_topic
37,22,37_synthetic_topic
38,30,38_synthetic_topic
39,23,39_synthetic_topic
40,22,40_synthetic_topic
