Topic,Count,Name
-1,5,-1_synthetic_topic
0,4,0_synthetic_topic
1,13,1_synthetic_topic
2,8,2_synthetic_topic
3,5,3_synthetic_topic
4,9,4_synthetic_topic
5,9,5_synthetic_topic
6,13,6_synthetic_topic
7,7,7_synthetic_topic
8,16,8_synthetic_topic
9,12,9_synthetic_topic
10,9,10_synthetic_topic
11,7,11_synthetic_topic
12,9,12_synthetic_topic
13,9,13_synthetic_topic
14,6,14_synthetic_topic
15,10,15_synthetic_topic
16,10,16_synthetic_topic
17,12,17_synthetic_topic
18,11,18_synthetic_topic
19,9,19_synthetic_topic
20,11,20_synthetic_topic
21,4,21_synthetic_topic
22,9,22_synthetic_topic
23,12,23_synthetic_topic
24,9,24_synthetic_topic
25,10,25_synthetic_topic
26,6,26_synthetic_topic
27,12,27_synthetic_topic
28,11,28_synthetic_topic
29,10,29_synthetic_topic
30,6,30_synthetic_topic
31,16,31_synthetic_topic
32,11,32_synthetic_topic
33,11,33_synthetic_topic
34,10,34_synthetic_topic
35,8,35_synthetic_topic
36,10,36_synthetic_topic
37,13,37_synthetic_topic
38,10,38_synthetic_topic
39,11,39_synthetic_topic
40,7,40_synthetic_topic
