Topic,Count,Name
-1,26,-1_synthetic_topic
0,21,0_synthetic_topic
1,30,1_synthetic_topic
2,32,2_synthetic_topic
3,30,3_synthetic_topic
4,28,4_synthetic_topic
5,20,5_synthetic_topic
6,24,6_synthetic_topic
7,25,7_synthetic_topic
8,18,8_synthetic_topic
9,34,9_synthetic_topic
10,27,10_synthetic_topic
11,136,11_synthetic_topic
12,22,12_synthetic_topic
13,24,13_synthetic_topic
14,27,14_synthetic_topic
15,23,15_synthetic_topic
16,29,16_synthetic_topic
17,22,17_synthetic_topic
18,23,18_synthetic_topic
19,28,19_synthetic_topic
20,21,20_synthetic_topic
21,21,21_synthetic_topic
22,33,22_synthetic_topic
23,24,23_synthetic_topic
24,27,24_synthetic_topic
25,31,25_synthetic_topic
26,24,26_synthetic_topic
27,35,27_synthetic_topic
28,33,28_synthetic_topic
29,29,29_synthetic_topic
30,32,30_synthetic_topic
31,27,31_synthetic_topic
32,27,32_synthetic_topic
33,29,33_synthetic_topic
34,27,34_synthetic_topic
35,21,35_synthetic_topic
36,21,36_synthetic_topic
37,25,37_synthetic_topic
38,20,38_synthetic_topic
39,19,39_synthetic_topic
40,25,40_synthetic_topic
