document_index,assigned_topic,assigned_topic_probability
0,1,0.657
1,23,0.692
2,9,0.048
3,31,0.556
4,33,0.219
5,33,0.927
6,34,0.562
7,2,0.617
8,21,0.243
9,20,0.421
10,0,0.529
11,32,0.812
12,7,0.612
13,16,0.113
14,1,0.451
15,32,0.296
16,6,0.539
17,20,0.47
18,20,0.022
19,3,0.208
20,34,0.66
21,-1,0.544
22,26,0.053
23,6,0.598
24,24,0.503
25,8,0.15
26,30,0.002
27,22,0.335
28,25,0.78
29,40,0.133
30,17,0.944
31,30,0.542
32,33,0.758
33,12,0.977
34,12,0.263
35,28,0.583
36,37,0.341
37,-1,0.085
38,3,0.794
39,6,0.012
40,25,0.869
41,16,0.795
42,20,0.638
43,12,0.591
44,16,0.846
45,31,0.056
46,17,0.736
47,15,0.18
48,0,0.02
49,14,0.312
50,30,0.327
51,4,0.193
52,13,0.711
53,10,0.559
54,19,0.92
55,33,0.762
56,34,0.826
57,15,0.903
58,23,0.806
59,33,0.118
60,34,0.185
61,24,0.402
62,4,0.332
63,14,0.885
64,10,0.524
65,27,0.876
66,11,0.387
67,0,0.907
68,36,0.072
69,3,0.446
70,11,0.901
71,11,0.45
72,11,0.733
73,19,0.361
74,22,0.829
75,29,0.631
76,8,0.812
77,11,0.536
78,14,0.638
79,10,0.529
80,22,0.567
81,16,0.689
82,-1,0.121
83,2,0.769
84,25,0.355
85,22,0.013
86,34,0.644
87,2,0.614
88,12,0.726
89,11,0.998
90,27,0.461
91,17,0.973
92,19,0.578
93,11,0.358
94,-1,0.678
95,36,0.196
96,10,0.966
97,0,0.441
98,21,0.011
99,7,0.655
100,29,0.12
101,30,0.089
102,15,0.024
103,31,0.883
104,6,0.034
105,13,0.537
106,11,0.489
107,25,0.911
108,29,0.911
109,31,0.921
110,14,0.4
111,34,0.474
112,26,0.826
113,23,0.12
114,8,0.114
115,34,0.922
116,30,0.029
117,35,0.383
118,13,0.195
119,22,0.084
120,11,0.974
121,24,0.166
122,11,0.432
123,33,0.256
124,29,0.491
125,40,0.767
126,38,0.66
127,11,0.572
128,39,0.511
129,0,0.132
130,18,0.403
131,38,0.905
132,24,0.821
133,40,0.065
134,11,0.84
135,27,0.828
136,11,0.802
137,37,0.815
138,3,0.983
139,15,0.055
140,27,0.384
141,19,0.968
142,11,0.553
143,23,0.682
144,4,0.362
145,24,0.212
146,12,0.978
147,18,0.362
148,2,0.561
149,35,0.244
150,15,0.967
151,32,0.258
152,19,0.914
153,38,0.292
154,14,0.947
155,3,0.367
156,11,0.872
157,0,0.6
158,32,0.114
159,37,0.296
160,7,0.761
161,1,0.668
162,30,0.356
163,11,0.195
164,32,0.829
165,22,0.622
166,23,0.682
167,10,0.479
168,12,0.35
169,25,0.382
170,38,0.031
171,11,0.944
172,14,0.367
173,23,0.483
174,11,0.357
175,26,0.355
176,11,0.686
177,27,0.67
178,36,0.81
179,37,0.072
180,5,0.874
181,24,0.957
182,17,0.989
183,19,0.129
184,28,0.487
185,40,0.939
186,23,0.759
187,22,0.06
188,26,0.87
189,20,0.839
190,13,0.78
191,11,0.412
192,26,0.632
193,22,0.716
194,-1,0.397
195,10,0.784
196,10,0.273
197,26,0.184
198,4,0.859
199,15,0.339
200,18,0.057
