Topic,Count,Name
-1,25,-1_synthetic_topic
0,25,0_synthetic_topic
1,26,1_synthetic_topic
2,28,2_synthetic_topic
3,37,3_synthetic_topic
4,33,4_synthetic_topic
5,13,5_synthetic_topic
6,32,6_synthetic_topic
7,22,7_synthetic_topic
8,25,8_synthetic_topic
9,22,9_synthetic_topic
10,26,10_synthetic_topic
11,127,11_synthetic_topic
12,23,12_synthetic_topic
13,19,13_synthetic_topic
14,16,14_synthetic_topic
15,38,15_synthetic_topic
16,25,16_synthetic_topic
17,23,17_synthetic_topic
18,24,18_synthetic_topic
19,30,19_synthetic_topic
20,32,20_synthetic_topic
21,22,21_synthetic_topic
22,30,22_synthetic_topic
23,25,23_synthetic_topic
24,31,24_synthetic_topic
25,23,25_synthetic_topic
26,29,26_synthetic_topic
27,22,27_synthetic_topic
28,31,28_synthetic_topic
29,26,29_synthetic_topic
30,18,30_synthetic_topic
31,29,31_synthetic_topic
32,30,32_synthetic_topic
33,22,33_synthetic_topic
34,27,34_synthetic_topic
35,21,35_synthetic_topic
36,28,36_synthetic_topic
37,27,37_synthetic_topic
38,33,38_synthetic_topic
39,26,39_synthetic_topic
40,29,40_synthetic_topic
