document_index,assigned_topic,assigned_topic_probability
0,26,0.054
1,21,0.522
2,11,0.519
3,35,0.196
4,9,0.248
5,6,0.319
6,31,0.009
7,36,0.817
8,39,0.773
9,30,0.32
10,39,0.574
11,15,0.328
12,3,0.027
13,11,0.59
14,5,0.722
15,30,0.334
16,16,0.241
17,17,0.264
18,37,0.349
19,40,0.468
20,5,0.755
21,34,0.199
22,25,0.706
23,32,0.965
24,38,0.18
25,13,0.508
26,32,0.361
27,28,0.6
28,26,0.881
29,30,0.886
30,31,0.443
31,16,0.757
32,37,0.511
33,2,0.772
34,6,0.884
35,29,0.712
36,18,0.061
37,11,0.245
38,20,0.786
39,4,0.02
40,-1,0.518
41,0,0.61
42,11,0.82
43,12,0.807
44,36,0.073
45,20,0.68
46,11,0.79
47,0,0.105
48,3,0.485
49,22,0.649
50,24,0.342
51,11,0.371
52,7,0.103
53,24,0.774
54,2,0.237
55,11,0.435
56,6,0.516
57,8,0.087
58,16,0.431
59,17,0.152
60,3,0.233
61,24,0.356
62,15,0.49
63,35,0.434
64,24,0.072
65,36,0.35
66,-1,0.039
67,17,0.251
68,34,0.085
69,6,0.167
70,8,0.502
71,28,0.927
72,-1,0.195
73,38,0.731
74,38,0.044
75,39,0.336
76,11,0.401
77,40,0.108
78,11,0.637
79,9,0.146
80,11,0.801
81,34,0.592
82,18,0.741
83,1,0.164
84,17,0.317
85,-1,0.705
86,11,0.453
87,27,0.632
88,1,0.413
89,4,0.672
90,37,0.642
91,15,0.3
92,1,0.882
93,-1,0.732
94,15,0.068
95,2,0.038
96,4,0.716
97,7,0.632
98,28,0.924
99,22,0.675
100,11,0.208
101,12,0.042
102,2,0.532
103,22,0.496
104,39,0.937
105,26,0.708
106,9,0.9
107,-1,0.757
108,2,0.661
109,34,0.563
110,11,0.58
111,11,0.507
112,13,0.839
113,35,0.235
114,16,0.915
115,11,0.559
116,20,0.437
117,36,0.211
118,7,0.276
119,21,0.584
120,19,0.152
121,11,0.003
122,4,0.259
123,6,0.304
124,8,0.941
125,38,0.582
126,36,0.406
127,-1,0.983
128,16,0.367
129,22,0.958
130,36,0.941
131,18,0.69
132,31,0.525
133,32,0.822
134,20,0.324
135,30,0.368
136,1,0.207
137,12,0.255
138,34,0.136
139,11,0.851
140,20,0.001
141,32,0.424
142,20,0.364
143,40,0.388
144,34,0.844
145,11,0.821
146,21,0.663
147,29,0.689
148,30,0.804
149,20,0.385
150,15,0.451
151,12,0.245
152,11,0.238
153,-1,0.935
154,35,0.761
155,29,0.453
156,11,0.039
157,4,0.743
158,20,0.949
159,34,0.927
160,40,0.714
161,11,0.648
162,17,0.121
163,23,0.086
164,23,0.265
165,10,0.564
166,33,0.913
167,28,0.871
168,33,0.306
169,3,0.366
170,27,0.31
171,13,0.53
172,31,0.809
173,20,0.783
174,20,0.886
175,23,0.522
176,11,0.658
177,23,0.954
178,36,0.676
179,2,0.167
180,6,0.327
181,0,0.076
182,19,0.11
183,8,0.492
184,23,0.739
185,0,0.189
186,3,0.32
187,8,0.337
188,26,0.84
189,1,0.184
190,21,0.034
191,21,0.624
192,12,0.527
193,3,0.003
194,28,0.765
195,16,0.424
196,24,0.548
197,31,0.671
198,-1,0.051
199,31,0.173
200,2,0.463
201,22,0.172
202,2,0.117
203,0,0.325
204,11,0.427
205,21,0.85
206,12,0.595
207,9,0.929
208,6,0.457
209,22,0.472
210,15,0.311
211,37,0.082
212,17,0.172
213,24,0.068
214,39,0.703
215,38,0.349
216,19,0.032
217,7,0.752
218,15,0.255
219,10,0.894
220,19,0.823
221,5,0.304
222,15,0.236
223,2,0.993
224,39,0.82
225,-1,0.927
226,36,0.017
227,37,0.598
228,39,0.267
229,17,0.375
230,31,0.091
231,11,0.748
232,34,0.526
233,11,0.792
234,19,0.116
235,30,0.997
236,7,0.349
237,37,0.951
238,11,0.676
239,11,0.109
240,11,0.782
241,34,0.561
242,7,0.189
243,11,0.187
244,10,0.953
245,24,0.999
246,21,0.576
247,24,0.187
248,11,0.34
249,37,0.212
250,36,0.607
251,38,0.4
252,19,0.378
253,6,0.801
254,22,0.964
255,2,0.197
256,28,0.414
257,10,0.537
258,7,0.246
259,33,0.402
260,26,0.056
261,3,0.041
262,35,0.786
263,26,0.339
264,10,0.707
265,15,0.083
266,18,0.671
267,37,0.653
268,22,0.821
269,33,0.205
270,11,0.551
271,20,0.901
272,2,0.22
273,14,0.125
274,22,0.345
275,11,0.965
276,10,0.157
277,9,0.119
278,34,0.998
279,21,0.393
280,29,0.149
281,38,0.559
282,0,0.014
283,24,0.426
284,2,0.036
285,38,0.565
286,17,0.625
287,11,0.004
288,6,0.513
289,25,0.945
290,21,0.398
291,38,0.955
292,-1,0.963
293,29,0.24
294,39,0.577
295,37,0.83
296,25,0.709
297,33,0.76
298,0,0.261
299,2,0.918
300,28,0.236
301,11,0.645
302,28,0.885
303,11,0.359
304,27,0.552
305,36,0.691
306,8,0.928
307,32,0.448
308,32,0.603
309,11,0.142
310,7,0.065
311,25,0.021
312,36,0.477
313,11,0.546
314,3,0.086
315,11,0.181
316,15,0.266
317,11,0.891
318,23,0.099
319,40,0.49
320,34,0.789
321,21,0.87
322,4,0.693
323,7,0.266
324,6,0.121
325,20,0.158
326,5,0.77
327,6,0.297
328,5,0.338
329,27,0.176
330,10,0.435
331,36,0.335
332,19,0.357
333,27,0.034
334,11,0.463
335,11,0.112
336,4,0.536
337,29,0.669
338,23,0.546
339,17,0.146
340,28,0.616
341,21,0.413
342,11,0.359
343,11,0.149
344,4,0.994
345,15,0.393
346,39,0.456
347,2,0.094
348,8,0.675
349,28,0.283
350,5,0.74
351,0,0.067
352,31,0.297
353,7,0.746
354,8,0.396
355,18,0.034
356,34,0.79
357,40,0.966
358,10,0.377
359,11,0.622
360,20,0.373
361,32,0.555
362,1,0.739
363,11,0.633
364,3,0.315
365,8,0.195
366,25,0.544
367,0,0.659
368,35,0.574
369,2,0.128
370,33,0.355
371,16,0.745
372,22,0.147
373,11,0.883
374,14,0.467
375,25,0.791
376,12,0.341
377,1,0.359
378,-1,0.967
379,10,0.567
380,8,0.102
381,-1,0.958
382,3,0.375
383,35,0.71
384,19,0.129
385,15,0.855
386,37,0.959
387,23,0.383
388,4,0.145
389,28,0.558
390,28,0.162
391,11,0.442
392,27,0.623
393,4,0.139
394,40,0.948
395,23,0.706
396,10,0.361
397,11,0.416
398,20,0.848
399,36,0.476
400,2,0.987
401,11,0.062
402,17,0.271
403,10,0.518
404,20,0.136
405,13,0.356
406,36,0.52
407,9,0.261
408,6,0.165
409,39,0.268
410,28,0.083
411,0,0.196
412,34,0.061
413,7,0.953
414,27,0.161
415,0,0.001
416,9,0.957
417,34,0.759
418,0,0.267
419,11,0.879
420,15,0.872
421,8,0.741
422,3,0.592
423,15,0.585
424,14,0.969
425,3,0.465
426,29,0.809
427,3,0.112
428,15,0.701
429,38,0.99
430,14,0.01
431,28,0.258
432,18,0.785
433,25,0.734
434,31,0.734
435,18,0.982
436,26,0.096
437,19,0.675
438,12,0.641
439,31,0.206
440,15,0.213
441,1,0.65
442,10,0.655
443,27,0.6
444,26,0.462
445,22,0.687
446,17,0.322
447,11,0.236
448,0,0.595
449,11,0.617
450,40,0.812
451,35,0.416
452,11,0.764
453,38,0.918
454,31,0.426
455,3,0.543
456,16,0.91
457,6,0.3
458,29,0.723
459,27,0.577
460,8,0.414
461,31,0.864
462,11,0.157
463,19,0.035
464,3,0.207
465,37,0.876
466,6,0.344
467,35,0.684
468,34,0.231
