document_index,assigned_topic,assigned_topic_probability
0,3,0.38
1,19,0.072
2,4,0.333
3,7,0.525
4,40,0.881
5,11,0.513
6,2,0.984
7,32,0.369
8,4,0.0
9,18,0.629
10,14,0.219
11,16,0.244
12,15,0.017
13,0,0.531
14,10,0.248
15,25,0.994
16,2,0.836
17,10,0.721
18,36,0.354
19,26,0.072
20,20,0.669
21,11,0.022
22,39,0.442
23,1,0.053
24,35,0.56
25,19,0.56
26,19,0.531
27,8,0.715
28,15,0.228
29,21,0.242
30,9,0.416
31,13,0.703
32,40,0.117
33,33,0.886
34,11,0.252
35,11,0.128
36,34,0.599
37,35,0.276
38,40,0.409
39,27,0.061
40,8,0.465
41,14,0.304
42,37,0.17
43,3,0.386
44,11,0.77
45,20,0.764
46,18,0.36
47,5,0.974
48,38,0.126
49,7,0.855
50,23,0.979
51,22,0.573
52,15,0.06
53,5,0.921
54,5,0.437
55,11,0.172
56,29,0.891
57,9,0.427
58,31,0.499
59,27,0.571
60,7,0.907
61,15,0.504
62,14,0.888
63,22,0.17
64,1,0.617
65,38,0.526
66,22,0.325
67,27,0.213
68,24,0.07
69,11,0.262
70,34,0.681
71,12,0.278
72,0,0.728
73,22,0.875
74,4,0.694
75,33,0.805
76,0,0.573
77,7,0.947
78,38,0.763
79,10,0.323
80,20,0.723
81,35,0.672
82,9,0.751
83,11,0.319
84,-1,0.51
85,32,0.88
86,3,0.976
87,11,0.36
88,29,0.487
89,12,0.331
90,19,0.718
91,20,0.039
92,29,0.954
93,14,0.549
94,10,0.271
95,4,0.037
96,17,0.561
97,19,0.586
98,25,0.695
99,11,0.525
100,7,0.516
101,8,0.304
102,11,0.194
103,5,0.251
104,4,0.375
105,32,0.773
106,11,0.118
107,33,0.644
108,23,0.038
109,33,0.043
110,17,0.274
111,35,0.357
112,22,0.19
113,0,0.886
114,6,0.305
115,11,0.468
116,33,0.994
117,11,0.254
118,11,0.619
119,36,0.747
120,6,0.271
121,22,0.057
122,36,0.791
123,11,0.289
124,15,0.321
125,17,0.415
126,18,0.039
127,12,0.851
128,21,0.863
129,10,0.871
130,32,0.183
131,27,0.976
132,11,0.661
133,34,0.593
134,10,0.722
135,21,0.756
136,38,0.416
137,27,0.584
138,38,0.585
139,24,0.008
140,32,0.01
141,11,0.471
142,6,0.558
143,6,0.707
144,23,0.753
145,5,0.586
146,17,0.284
147,18,0.619
148,2,0.26
149,34,0.818
150,2,0.423
151,12,0.895
152,34,0.128
153,0,0.705
154,2,0.429
155,34,0.127
156,10,0.559
157,11,0.212
158,5,0.292
159,5,0.456
160,23,0.364
161,39,0.389
162,30,0.397
163,24,0.017
164,10,0.367
165,1,0.394
166,31,0.593
167,3,0.481
168,6,0.173
169,17,0.588
170,13,0.035
171,35,0.333
172,9,0.62
173,26,0.624
174,18,0.18
175,9,0.339
176,40,0.458
177,32,0.411
178,29,0.685
179,18,0.74
180,7,0.041
181,26,0.745
182,39,0.879
183,10,0.914
184,11,0.056
185,35,0.884
186,18,0.164
187,2,0.338
188,37,0.382
189,3,0.299
190,31,0.295
191,19,0.169
192,29,0.659
193,11,0.58
194,7,0.614
195,3,0.521
196,4,0.221
197,7,0.586
198,35,0.654
199,2,0.052
200,27,0.988
201,15,0.58
202,33,0.638
203,24,0.57
204,31,0.691
205,33,0.657
206,36,0.799
207,11,0.162
208,14,0.164
209,37,0.22
210,13,0.963
211,23,0.357
212,8,0.316
213,11,0.229
214,3,0.481
215,39,0.905
216,19,0.674
217,34,0.188
218,19,0.837
219,4,0.946
220,3,0.713
221,36,0.594
222,24,0.672
223,4,0.736
224,14,0.859
225,23,0.659
226,18,0.531
227,2,0.182
228,20,0.374
229,6,0.085
230,11,0.729
231,27,0.992
232,27,0.096
233,2,0.44
234,11,0.7
235,9,0.03
236,17,0.44
237,32,0.795
238,16,0.293
239,23,0.66
240,-1,0.607
241,19,0.7
242,31,0.24
243,26,0.168
244,39,0.017
245,31,0.48
246,4,0.187
247,1,0.651
248,11,0.549
249,33,0.834
250,34,0.802
251,29,0.361
252,28,0.296
253,27,0.082
254,11,0.756
255,27,0.496
256,26,0.336
257,2,0.704
258,37,0.274
259,30,0.478
260,8,0.436
261,11,0.27
262,27,0.79
263,11,0.707
264,33,0.52
265,18,0.691
266,3,0.089
267,11,0.43
268,38,0.6
269,12,0.394
270,39,0.714
271,29,0.522
272,29,0.383
273,14,0.415
274,20,0.716
275,8,0.066
276,24,0.838
277,35,0.057
278,26,0.133
279,35,0.81
280,5,0.374
281,24,0.459
282,11,0.373
283,22,0.093
284,3,0.609
285,15,0.689
286,14,0.19
287,21,0.752
288,30,0.1
289,23,0.775
290,36,0.701
291,10,0.912
292,14,0.813
293,18,0.844
294,24,0.958
295,34,0.844
296,23,0.796
297,39,0.196
298,18,0.755
299,21,0.633
300,11,0.962
301,5,0.72
302,5,0.26
303,13,0.164
304,2,0.281
305,16,0.48
306,13,0.653
307,24,0.215
308,39,0.233
309,22,0.302
310,39,0.807
311,24,0.365
312,11,0.078
313,34,0.545
314,23,0.006
315,39,0.674
316,11,0.842
317,13,0.166
318,17,0.845
319,11,0.679
320,11,0.099
321,29,0.228
322,-1,0.227
